tamil,brahmi
குறிஞ்சி,𑀓𑀼𑀭𑁆𑀭𑀺𑀜𑀺𑀘𑀺
நிலம் மலையும் மலைசார்ந்த இடமும்,𑀦𑀺𑀮𑀫𑀺 𑀫𑀮𑁄𑀬𑀼𑀫𑀺 𑀫𑀮𑁄𑀘𑀸𑀭𑀺𑀦𑀺𑀢 𑀇𑀝𑀫𑀼𑀫𑀺
ஒழுக்கம் புணர்தலும் புணர்தல் நிமித்தமும்,𑀒𑀰𑀼𑀓𑀺𑀓𑀫𑀺 𑀧𑀼𑀡𑀭𑀺𑀢𑀮𑀼𑀫𑀺 𑀧𑀼𑀡𑀭𑀺𑀢𑀮𑀺 𑀦𑀺𑀫𑀺𑀢𑀺𑀢𑀫𑀼𑀫𑀺
நறைபடர் சாந்தம் அறஎறிந்து நாளால்,𑀦𑀭𑁆𑀭𑁄𑀧𑀝𑀭𑀺 𑀘𑀸𑀦𑀺𑀢𑀫𑀺 𑀅𑀭𑁆𑀭𑀏𑀭𑁆𑀭𑀺𑀦𑀺𑀢𑀼 𑀦𑀸𑀴𑀸𑀮𑀺
உறைஎதிர்ந்து வித்தியஊழ் ஏனல் பிறையெதிர்ந்த,𑀉𑀭𑁆𑀭𑁄𑀏𑀢𑀺𑀭𑀺𑀦𑀺𑀢𑀼 𑀯𑀺𑀢𑀺𑀢𑀺𑀬𑀊𑀰𑀺 𑀐𑀦𑁆𑀦𑀮𑀺 𑀧𑀺𑀭𑁆𑀭𑁄𑀬𑁂𑀢𑀺𑀭𑀺𑀦𑀺𑀢
தாமரைபோல் வாள்முகத்துத் தாழ்குழலீர் காணீரோ,𑀢𑀸𑀫𑀭𑁄𑀧𑁆𑀮𑀺 𑀯𑀸𑀴𑀺𑀫𑀼𑀓𑀢𑀺𑀢𑀼𑀢𑀺 𑀢𑀸𑀰𑀺𑀓𑀼𑀰𑀮𑀻𑀭𑀺 𑀓𑀸𑀡𑀻𑀭𑁆
ஏமரை போந்தன ஈண்டு,𑀐𑀫𑀭𑁄 𑀧𑁆𑀦𑀺𑀢𑀦𑁆𑀦 𑀈𑀡𑀺𑀝𑀼
சுள்ளி சுனைநீலம் சோபா லிகைசெயலை,𑀘𑀼𑀴𑀺𑀴𑀺 𑀘𑀼𑀦𑁆𑀦𑁄𑀦𑀻𑀮𑀫𑀺 𑀘𑁆𑀧𑀸 𑀮𑀺𑀓𑁄𑀘𑁂𑀬𑀮𑁄
அள்ளி அளகத்தின் மேலாய்ந்து தெள்ளி,𑀅𑀴𑀺𑀴𑀺 𑀅𑀴𑀓𑀢𑀺𑀢𑀺𑀦𑁆𑀦𑀺 𑀫𑁃𑀮𑀸𑀬𑀺𑀦𑀺𑀢𑀼 𑀢𑁂𑀴𑀺𑀴𑀺
இதணால் கடியடுங்கா ஈர்ங்கடா யானை,𑀇𑀢𑀡𑀸𑀮𑀺 𑀓𑀝𑀺𑀬𑀝𑀼𑀗𑀺𑀓𑀸 𑀈𑀭𑀺𑀗𑀺𑀓𑀝𑀸 𑀬𑀸𑀦𑁆𑀦𑁄
